seed,outcome,battles_won,final_hp,traits_acquired_count
180,won,18,71,29
181,won,18,80,33
182,lost,5,77,7
183,lost,5,80,7
184,won,18,80,26
185,lost,5,68,7
186,lost,5,64,8
187,won,18,80,30
188,lost,5,62,6
189,lost,5,43,6
190,lost,5,69,7
191,won,18,80,32
192,lost,5,71,6
193,won,18,80,31
194,lost,5,80,7
195,won,18,80,28
196,won,18,80,31
197,lost,5,72,8
198,lost,5,78,7
199,lost,11,40,17
200,won,18,80,27
201,won,18,80,27
202,lost,5,71,7
203,won,18,80,30
204,lost,5,72,7
205,won,18,80,33
206,won,18,59,30
207,won,18,80,29
208,won,18,80,29
209,won,18,51,31
210,lost,5,68,6
211,won,18,80,29
212,won,18,71,27
213,won,18,80,25
214,won,18,80,30
215,lost,5,77,7
216,won,18,67,29
217,won,18,80,29
218,won,18,80,32
219,lost,5,74,7
220,won,18,80,31
221,lost,5,71,6
222,won,18,64,30
223,lost,5,74,9
224,won,18,80,32
225,lost,5,69,8
226,won,18,56,34
227,lost,5,69,4
228,lost,5,72,7
229,lost,5,78,4
230,won,18,80,28
231,lost,5,68,6
232,lost,5,75,7
233,won,18,80,29
234,lost,5,79,7
235,won,18,80,32
236,won,18,80,29
237,lost,5,64,5
238,won,18,80,29
239,won,18,58,28
240,lost,5,69,6
241,lost,5,71,9
242,lost,5,75,6
243,won,18,80,31
244,won,18,62,31
245,lost,5,55,7
246,won,18,80,30
247,lost,5,80,6
248,won,18,80,30
249,won,18,80,31
250,won,18,64,30
251,won,18,70,29
252,lost,5,66,5
253,won,18,80,30
254,won,18,66,30
255,won,18,80,26
256,lost,5,78,7
257,lost,5,72,8
258,lost,5,77,6
259,won,18,80,27
260,lost,5,71,7
261,won,18,57,25
262,won,18,80,28
263,won,18,77,34
264,won,18,79,33
265,won,18,73,29
266,won,18,80,32
267,lost,5,71,7
268,won,18,80,27
269,lost,5,68,7
270,won,18,62,28
271,lost,5,69,9
272,won,18,78,28
273,won,18,70,28
274,won,18,80,29
275,won,18,80,29
276,lost,5,74,6
277,won,18,80,31
278,lost,5,60,6
279,won,18,67,28
280,won,18,80,31
281,won,18,80,23
282,won,18,80,28
283,won,18,80,28
284,won,18,80,28
285,lost,5,67,6
286,lost,5,72,6
287,lost,5,72,6
288,won,18,80,31
289,won,18,65,28
290,won,18,73,24
291,won,18,80,34
292,won,18,65,32
293,lost,5,80,5
294,lost,5,65,6
295,won,18,80,31
296,won,18,80,29
297,lost,5,76,7
298,won,18,80,28
299,won,18,80,30
300,won,18,61,31
301,won,18,63,33
302,won,18,67,33
303,lost,5,77,6
304,won,18,80,28
305,won,18,73,28
306,lost,5,70,7
307,lost,5,72,6
308,won,18,80,33
309,lost,5,74,5
310,won,18,80,29
311,won,18,80,26
312,won,18,80,33
313,won,18,80,26
314,won,18,39,30
315,won,18,80,29
316,lost,5,74,6
317,won,18,80,27
318,lost,5,63,6
319,won,18,80,26
320,lost,5,69,7
321,lost,5,77,7
322,lost,5,58,6
323,won,18,80,30
324,won,18,80,27
325,lost,5,73,4
326,won,18,80,32
327,won,18,80,26
328,won,18,80,31
329,lost,5,70,5
330,lost,11,74,18
331,won,18,80,28
332,won,18,80,32
333,lost,5,79,7
334,won,18,80,28
335,won,18,75,27
336,won,18,51,29
337,lost,5,80,8
338,won,18,74,31
339,won,18,80,28
340,won,18,80,32
341,lost,5,56,4
342,lost,5,61,6
343,lost,5,69,7
344,won,18,72,30
345,lost,5,65,7
346,won,18,80,31
347,lost,5,76,6
348,won,18,80,29
349,won,18,80,32
350,won,18,80,28
351,lost,5,73,8
352,lost,5,73,8
353,lost,5,78,5
354,won,18,80,26
355,won,18,80,28
356,lost,5,67,6
357,won,18,80,25
358,won,18,80,30
359,lost,5,63,6
360,won,18,80,30
361,won,18,80,30
362,won,18,80,28
363,won,18,80,33
364,lost,5,77,8
365,won,18,80,32
366,won,18,80,32
367,won,18,80,34
368,won,18,38,29
369,won,18,80,27
370,lost,5,78,6
371,won,18,80,29
372,won,18,24,30
373,lost,5,59,5
374,won,18,80,30
375,lost,5,74,6
376,won,18,80,32
377,lost,5,80,7
378,lost,5,53,6
379,lost,5,64,5
380,won,18,62,31
381,won,18,68,29
382,lost,5,80,8
383,won,18,80,29
384,won,18,80,30
385,won,18,80,33
386,lost,5,80,7
387,lost,11,69,14
388,won,18,69,33
389,won,18,73,32
390,won,18,46,29
391,lost,5,71,6
392,won,18,80,27
393,won,18,80,31
394,won,18,52,28
395,won,18,80,30
396,lost,5,78,7
397,lost,5,71,5
398,lost,5,74,6
399,lost,5,78,6
400,lost,5,77,5
401,won,18,61,28
402,won,18,77,30
403,won,18,80,29
404,lost,5,80,6
405,lost,5,78,7
406,won,18,80,31
407,lost,5,74,7
408,won,18,80,30
409,lost,11,80,17
410,won,18,60,29
411,lost,5,77,6
412,won,18,80,31
413,lost,5,74,7
414,won,18,78,30
415,won,18,80,33
416,won,18,64,29
417,won,18,68,27
418,won,18,80,30
419,won,18,80,30
420,lost,5,65,6
421,lost,5,79,5
422,won,18,32,28
423,won,18,80,31
424,won,18,67,30
425,won,18,77,32
426,won,18,80,30
427,lost,5,61,7
428,lost,5,72,8
429,lost,5,78,5
430,won,18,80,28
431,won,18,80,26
432,won,18,80,33
433,won,18,80,30
434,won,18,58,28
435,lost,5,80,4
436,lost,5,76,7
437,won,18,80,29
438,lost,5,76,7
439,lost,5,51,7
440,lost,11,73,14
441,lost,5,54,4
442,won,18,80,26
443,won,18,80,31
444,won,18,80,32
445,lost,5,68,7
446,lost,5,65,5
447,lost,5,45,7
448,won,18,50,30
449,won,18,80,33
450,won,18,80,30
451,won,18,69,28
452,lost,5,80,7
453,won,18,80,28
454,won,18,65,30
455,won,18,48,29
456,lost,5,73,6
457,won,18,59,30
458,won,18,80,33
459,lost,5,71,6
460,lost,5,75,7
461,won,18,55,29
462,lost,5,73,7
463,lost,11,68,15
464,won,18,73,32
465,lost,11,44,14
466,won,18,80,30
467,lost,5,80,7
468,won,18,80,25
469,won,18,80,26
470,lost,5,76,5
471,won,18,80,27
472,lost,5,80,6
473,won,18,77,28
474,won,18,80,30
475,lost,5,80,6
476,won,18,46,31
477,won,18,74,30
478,won,18,80,27
479,lost,5,71,7
480,won,18,80,25
481,lost,5,66,6
482,won,18,64,32
483,won,18,74,30
484,lost,5,76,7
485,won,18,80,31
486,won,18,80,29
487,won,18,53,30
488,won,18,80,27
489,lost,5,70,6
490,lost,5,76,10
491,won,18,74,28
492,lost,5,69,7
493,lost,11,79,14
494,lost,5,73,8
495,won,18,80,31
496,won,18,80,31
497,lost,5,80,6
498,lost,5,69,6
499,won,18,36,28
500,won,18,80,29
501,won,18,74,34
502,won,18,80,28
503,lost,5,69,7
504,won,18,71,29
505,won,18,80,29
506,won,18,80,31
507,lost,5,71,6
508,won,18,80,29
509,won,18,80,30
510,won,18,80,30
511,lost,11,70,14
512,lost,5,80,6
513,lost,5,66,7
514,won,18,80,28
515,won,18,80,31
516,lost,5,73,6
517,lost,5,65,7
518,lost,5,79,6
519,lost,5,77,5
520,lost,5,67,7
521,lost,5,71,7
522,won,18,80,26
523,won,18,45,32
524,won,18,59,31
525,lost,5,67,4
526,lost,5,51,6
527,lost,5,76,8
528,lost,5,80,8
529,won,18,55,31
530,lost,5,80,9
531,won,18,80,28
532,lost,5,67,8
533,won,18,75,29
534,won,18,41,33
535,won,18,80,29
536,won,18,54,25
537,won,18,52,30
538,won,18,79,29
539,won,18,71,28
540,lost,5,80,8
541,won,18,80,29
542,won,18,77,29
543,won,18,74,32
544,lost,5,75,6
545,won,18,80,29
546,lost,5,72,8
547,lost,5,80,6
548,won,18,67,27
549,lost,5,80,8
550,won,18,80,29
551,won,18,80,29
552,won,18,80,31
553,won,18,80,30
554,lost,5,66,6
555,won,18,80,34
556,lost,5,78,7
557,won,18,71,29
558,won,18,80,31
559,lost,5,68,5
560,won,18,80,30
561,won,18,80,30
562,won,18,75,30
563,lost,5,78,3
564,won,18,80,32
565,won,18,56,29
566,lost,5,73,7
567,won,18,73,31
568,lost,5,80,7
569,won,18,80,29
570,lost,5,73,4
571,won,18,80,28
572,lost,5,73,8
573,won,18,80,33
574,lost,11,74,15
575,won,18,80,27
576,won,18,77,28
577,lost,5,70,6
578,won,18,80,29
579,lost,5,79,8
580,lost,5,80,8
581,won,18,79,29
582,won,18,80,29
583,lost,5,76,8
584,won,18,50,31
585,won,18,58,32
586,won,18,80,30
587,lost,5,63,4
588,won,18,80,28
589,lost,11,74,17
590,won,18,80,34
591,lost,5,55,5
592,lost,5,69,6
593,won,18,64,29
594,lost,5,67,6
595,won,18,80,31
596,won,18,80,31
597,won,18,76,29
598,won,18,80,31
599,won,18,80,30
600,lost,5,74,6
601,won,18,64,31
602,won,18,65,30
603,won,18,80,31
604,won,18,80,28
605,won,18,80,30
606,won,18,80,30
607,won,18,80,29
608,won,18,52,34
609,won,18,80,27
610,won,18,80,28
611,won,18,80,28
612,lost,5,80,9
613,lost,5,73,6
614,lost,5,46,5
615,won,18,80,29
616,won,18,40,28
617,won,18,57,29
618,lost,5,60,6
619,won,18,80,29
620,won,18,59,32
621,won,18,51,33
622,lost,5,79,6
623,lost,5,74,8
624,won,18,57,26
625,lost,5,70,6
626,won,18,80,29
627,lost,5,74,8
628,won,18,80,27
629,won,18,61,29
630,won,18,80,33
631,lost,5,69,6
632,won,18,80,30
633,won,18,80,30
634,won,18,80,24
635,lost,5,68,7
636,lost,5,79,5
637,won,18,80,29
638,lost,5,77,6
639,won,18,62,32
640,lost,5,76,5
641,won,18,80,31
642,won,18,51,30
643,won,18,74,29
644,won,18,69,30
645,won,18,80,30
646,won,18,80,28
647,lost,5,80,6
648,lost,5,80,9
649,lost,5,80,9
650,lost,5,58,5
651,won,18,80,29
652,lost,5,74,8
653,won,18,80,31
654,lost,5,67,6
655,lost,5,78,5
656,lost,5,64,6
657,lost,5,78,6
658,lost,5,69,8
659,lost,11,51,15
660,won,18,80,23
661,lost,5,71,8
662,lost,5,80,7
663,won,18,80,28
664,lost,5,78,8
665,won,18,80,32
666,won,18,80,28
667,won,18,80,26
668,lost,5,74,4
669,won,18,80,31
670,lost,5,73,6
671,lost,5,70,7
672,lost,5,62,9
673,lost,5,80,4
674,lost,5,71,5
675,lost,5,70,6
676,won,18,80,28
677,lost,5,75,5
678,lost,5,74,8
679,lost,5,74,7
680,lost,5,73,5
681,lost,5,75,5
682,won,18,46,29
683,won,18,21,30
684,lost,5,74,5
685,won,18,80,31
686,won,18,80,29
687,won,18,80,28
688,won,18,80,28
689,won,18,80,31
690,lost,5,69,6
691,won,18,80,31
692,lost,5,80,7
693,won,18,80,26
694,lost,5,76,7
695,lost,5,75,6
696,won,18,80,29
697,won,18,80,28
698,won,18,80,30
699,won,18,80,30
700,lost,5,66,6
701,won,18,80,31
702,won,18,79,29
703,won,18,80,30
704,lost,5,80,5
705,won,18,80,30
706,lost,5,64,7
707,won,18,80,30
708,won,18,80,29
709,lost,5,69,7
710,won,18,80,29
711,lost,5,71,8
712,won,18,72,34
713,lost,5,78,6
714,won,18,52,27
715,lost,5,60,4
716,lost,5,68,7
717,won,18,46,30
718,lost,5,74,5
719,won,18,80,28
720,won,18,80,31
721,won,18,80,27
722,won,18,80,29
723,won,18,44,30
724,won,18,80,29
725,lost,5,80,7
726,won,18,68,30
727,won,18,64,30
728,won,18,80,30
729,won,18,75,30
730,won,18,80,29
731,lost,5,79,6
732,won,18,80,30
733,lost,5,68,7
734,lost,5,66,7
735,won,18,80,29
736,lost,5,70,6
737,won,18,80,27
738,won,18,37,29
739,lost,11,79,14
740,won,18,78,34
741,won,18,80,29
742,lost,5,75,7
743,won,18,80,26
744,lost,5,80,6
745,lost,5,76,6
746,won,18,80,33
747,lost,5,64,4
748,lost,5,56,4
749,won,18,71,34
750,won,18,80,26
751,won,18,80,25
752,lost,5,77,7
753,won,18,80,31
754,won,18,80,27
755,lost,5,80,8
756,won,18,80,25
757,won,18,80,34
758,won,18,80,29
759,lost,5,73,5
760,won,18,80,33
761,lost,5,80,8
762,lost,5,50,6
763,lost,5,71,6
764,won,18,64,32
765,won,18,80,29
766,won,18,56,29
767,won,18,80,32
768,lost,5,79,8
769,won,18,80,31
770,lost,5,78,7
771,won,18,69,27
772,won,18,80,27
773,won,18,80,30
774,lost,5,79,5
775,won,18,80,33
776,lost,5,80,5
777,lost,5,71,6
778,lost,5,73,6
779,won,18,80,31
780,lost,5,80,6
781,won,18,80,30
782,won,18,80,28
783,lost,5,78,7
784,won,18,67,26
785,won,18,80,32
786,lost,5,74,6
787,won,18,80,27
788,lost,5,76,6
789,won,18,80,28
790,won,18,80,30
791,won,18,80,27
792,lost,5,74,8
793,lost,5,49,6
794,won,18,77,30
795,won,18,71,33
796,won,18,80,28
797,lost,5,77,7
798,won,18,62,29
799,lost,5,57,7
800,lost,5,80,8
801,won,18,80,30
802,won,18,80,29
803,won,18,80,31
804,lost,5,69,5
805,won,18,80,30
806,lost,5,80,6
807,lost,5,74,7
808,won,18,59,29
809,won,18,80,31
810,won,18,57,30
811,lost,5,71,6
812,lost,5,80,6
813,lost,5,63,7
814,won,18,80,28
815,won,18,80,31
816,lost,5,78,5
817,won,18,80,27
818,won,18,80,31
819,won,18,80,31
820,won,18,49,26
821,lost,5,63,5
822,won,18,80,30
823,won,18,75,26
824,lost,5,77,6
825,won,18,80,29
826,won,18,80,30
827,lost,5,70,5
828,lost,5,80,6
829,won,18,55,32
830,won,18,69,30
831,won,18,80,29
832,lost,5,63,6
833,won,18,80,33
834,won,18,80,30
835,won,18,76,31
836,won,18,59,28
837,lost,5,75,5
838,lost,5,77,4
839,lost,5,55,6
840,won,18,80,26
841,lost,11,58,16
842,lost,5,73,8
843,won,18,80,32
844,won,18,45,33
845,won,18,59,27
846,won,18,77,31
847,won,18,80,31
848,lost,5,80,6
849,lost,5,73,6
850,lost,5,74,4
851,won,18,80,29
852,won,18,57,28
853,lost,5,72,3
854,lost,5,73,7
855,lost,5,72,7
856,won,18,64,28
857,won,18,80,32
858,lost,5,79,6
859,lost,5,64,8
860,won,18,80,29
861,lost,5,70,4
862,won,18,80,28
863,won,18,80,32
864,lost,5,74,8
865,won,18,80,30
866,won,18,80,28
867,won,18,80,28
868,won,18,80,31
869,lost,5,68,7
870,won,18,66,30
871,lost,5,67,6
872,won,18,80,32
873,lost,5,77,7
874,won,18,60,29
875,won,18,80,29
876,lost,5,80,7
877,won,18,80,27
878,won,18,80,31
879,won,18,80,34
880,lost,5,64,6
881,lost,5,53,4
882,lost,5,78,6
883,won,18,80,28
884,won,18,80,27
885,won,18,80,32
886,won,18,75,25
887,won,18,80,32
888,won,18,61,29
889,won,18,55,26
890,won,18,57,31
891,won,18,63,28
892,won,18,61,28
893,lost,5,70,7
894,lost,5,80,7
895,lost,5,67,6
896,won,18,80,29
897,won,18,80,32
898,lost,5,77,6
899,won,18,80,31
900,won,18,80,27
901,lost,5,80,7
902,lost,5,76,5
903,won,18,76,31
904,won,18,54,28
905,won,18,73,31
906,lost,5,66,7
907,won,18,80,31
908,won,18,80,31
909,won,18,80,33
910,lost,5,75,6
911,lost,5,63,5
912,won,18,80,32
913,lost,5,80,8
914,won,18,68,25
915,lost,5,78,7
916,lost,5,75,7
917,won,18,80,30
918,won,18,80,29
919,lost,5,76,6
920,lost,5,73,5
921,lost,5,63,7
922,won,18,80,33
923,won,18,51,30
924,won,18,80,26
925,lost,5,47,4
926,lost,5,71,5
927,won,18,80,26
928,won,18,21,30
929,won,18,80,32
930,won,18,80,30
931,won,18,62,29
932,won,18,80,29
933,lost,5,80,7
934,won,18,34,31
935,lost,5,61,9
936,won,18,51,33
937,lost,11,74,14
938,won,18,80,27
939,won,18,46,28
940,lost,5,76,7
941,lost,5,79,5
942,won,18,80,29
943,lost,5,67,6
944,lost,5,76,7
945,lost,5,73,6
946,won,18,40,29
947,won,18,72,34
948,won,18,80,33
949,won,18,80,32
950,lost,5,77,7
951,lost,5,74,8
952,lost,5,80,7
953,lost,5,55,5
954,won,18,80,32
955,won,18,80,27
956,won,18,80,30
957,lost,5,70,10
958,lost,5,75,7
959,won,18,80,30
960,lost,5,72,8
961,won,18,64,32
962,won,18,64,28
963,lost,5,64,6
964,won,18,80,30
965,lost,5,64,5
966,lost,5,80,7
967,lost,5,74,5
968,lost,5,75,7
969,lost,5,70,4
970,won,18,68,31
971,won,18,80,30
972,won,18,80,30
973,won,18,80,33
974,lost,11,80,17
975,lost,5,77,5
976,lost,5,64,7
977,won,18,80,29
978,lost,5,80,6
979,lost,5,80,6
980,lost,5,65,8
981,lost,5,57,5
982,lost,11,49,18
983,won,18,80,31
984,won,18,70,30
985,lost,5,66,5
986,won,18,37,26
987,won,18,50,28
988,won,18,80,30
989,won,18,80,29
990,won,18,57,26
991,won,18,80,31
992,won,18,80,27
993,won,18,80,28
994,lost,5,80,8
995,lost,5,71,8
996,won,18,80,31
997,lost,5,79,6
998,won,18,80,27
999,won,18,66,26
